PIR  -->  747
RXP  -->  797
DWI  -->  394
SSX  -->  779
CPA  -->  272
VSG  -->  874
HAC  -->  422
FOM  -->  366
FEP  -->  337
ZOB  -->  962
RFM  -->  736
LZJ  -->  595
ACF  -->  223
KVA  -->  582
HZP  -->  497
KXJ  -->  595
QEJ  -->  735
SJX  -->  759
HOD  -->  463
WPT  -->  978
ZGZ  -->  949
LTY  -->  589
WVA  -->  982
CGX  -->  249
EPZ  -->  379
TZW  -->  899
ESA  -->  372
PML  -->  765
PTZ  -->  789
SRQ  -->  777
MRW  -->  679
NES  -->  637
LBN  -->  526
NFT  -->  638
NJL  -->  655
MEM  -->  636
KIE  -->  543
KXR  -->  597
XMM  -->  966
WHE  -->  943
MVV  -->  688
KIB  -->  542
CTE  -->  283
QIJ  -->  745
LVS  -->  587
YJW  -->  959
LTG  -->  584
PFE  -->  733
ICS  -->  427
VAZ  -->  829
ZMU  -->  968
WZC  -->  992
ZDX  -->  939
EVG  -->  384
NJB  -->  652
IHL  -->  445
ESG  -->  374
LKM  -->  556
RUO  -->  786
JPP  -->  577
JQD  -->  573
FOE  -->  363
KOI  -->  564
HSF  -->  473
NHO  -->  646
RPY  -->  779
EWS  -->  397
KJC  -->  552
YCZ  -->  929
NLO  -->  656
EWH  -->  394
HEV  -->  438
MOL  -->  665
WVF  -->  983
DLP  -->  357
SEE  -->  733
SKC  -->  752
KWN  -->  596
PVP  -->  787
OID  -->  643
EMB  -->  362
LVF  -->  583
JJT  -->  558
UHR  -->  847
CLE  -->  253
RFK  -->  735
XXU  -->  998
CHQ  -->  247
PWL  -->  795
HKV  -->  458
KPJ  -->  575
LCH  -->  524
RLQ  -->  757
MIA  -->  642
DML  -->  365
JDQ  -->  537
TCN  -->  826
PEU  -->  738
GUT  -->  488
TBD  -->  823
RNU  -->  768
CYX  -->  299
JRK  -->  575
CEU  -->  238
CJG  -->  254
NTL  -->  685
FOO  -->  366
SES  -->  737
OMO  -->  666
HHP  -->  447
NYC  -->  692
HBD  -->  423
GMU  -->  468
ROY  -->  769
LQK  -->  575
UFD  -->  833
FMT  -->  368
TEX  -->  839
OVL  -->  685
CCT  -->  228
UPR  -->  877
YZU  -->  998
BFH  -->  234
YYX  -->  999
YMQ  -->  967
IGX  -->  449
NLK  -->  655
HHO  -->  446
EVL  -->  385
SXO  -->  796
LRF  -->  573
EQE  -->  373
ZTM  -->  986
IRK  -->  475
FQY  -->  379
XYE  -->  993
VMS  -->  867
FVZ  -->  389
VBU  -->  828
HTT  -->  488
VEN  -->  836
CJF  -->  253
JKY  -->  559
VUS  -->  887
HBI  -->  424
GZI  -->  494
MUW  -->  689
EZR  -->  397
FWT  -->  398
BDO  -->  236
VAT  -->  828
IDE  -->  433
NMQ  -->  667
NJM  -->  656
FQN  -->  376
PYO  -->  796
ANI  -->  264
WRJ  -->  975
QXG  -->  794
LYL  -->  595
ZVM  -->  986
UFP  -->  837
AUD  -->  283
QIM  -->  746
CPE  -->  273
SHF  -->  743
GHS  -->  447
RFL  -->  735
AVK  -->  285
IIL  -->  445
UIG  -->  844
GEM  -->  436
XFG  -->  934
CXQ  -->  297
OCI  -->  624
UUP  -->  887
BCY  -->  229
TTD  -->  883
HWB  -->  492
REJ  -->  735
CAT  -->  228
LIY  -->  549
ZFF  -->  933
HJC  -->  452
YXE  -->  993
GUY  -->  489
XVB  -->  982
VRW  -->  879
YYS  -->  997
BPX  -->  279
NUZ  -->  689
GFI  -->  434
GEP  -->  437
LLZ  -->  559
QLY  -->  759
UTS  -->  887
VQQ  -->  877
YNH  -->  964
UOF  -->  863
NPW  -->  679
MCQ  -->  627
LLX  -->  559
TTD  -->  883
LHP  -->  547
KXA  -->  592
IRW  -->  479
DOM  -->  366
TMC  -->  862
CJQ  -->  257
JYH  -->  594
FKK  -->  355
YXX  -->  999
XTQ  -->  987
BEX  -->  239
SOW  -->  769
UYQ  -->  897
QBE  -->  723
FWT  -->  398
HYE  -->  493
ZHC  -->  942
GPM  -->  476
SNL  -->  765
PME  -->  763
INI  -->  464
HFY  -->  439
EAZ  -->  329
UQA  -->  872
AXZ  -->  299
VEX  -->  839
ZDH  -->  934
BKW  -->  259
PEL  -->  735
BUX  -->  289
FEL  -->  335
QLS  -->  757
ORS  -->  677
PNL  -->  765
QOI  -->  764
RJP  -->  757
OLS  -->  657
VOE  -->  863
TEJ  -->  835
EHF  -->  343
CMJ  -->  265
PEW  -->  739
HVO  -->  486
CKB  -->  252
PCR  -->  727
XTD  -->  983
MKO  -->  656
HHC  -->  442
NBI  -->  624
YHP  -->  947
DJE  -->  353
OAI  -->  624
LKF  -->  553
BMQ  -->  267
EBU  -->  328
WAO  -->  926
ZPA  -->  972
PYH  -->  794
TLK  -->  855
EMS  -->  367
TPD  -->  873
ZGG  -->  944
ITQ  -->  487
PUE  -->  783
FYF  -->  393
AWH  -->  294
QXW  -->  799
QOW  -->  769
ZII  -->  944
KMW  -->  569
EHL  -->  345
HHT  -->  448
PRM  -->  776
FGG  -->  344

number of 0 collisions occured: 266
number of 1 collisions occured: 89
number of 2 collisions occured: 72
number of 3 collisions occured: 40
number of 4 collisions occured: 24
number of 5 collisions occured: 5
number of 6 collisions occured: 2
number of 7 collisions occured: 2

Max number of collisions occured: 234
Average number of search to find a person: 2.13675
